Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Theremia,https://www.crunchbase.com/organization/theremia,,,"Theremia is an innovative health tech firm that uses cutting-edge AI technologies to revolutionize drug development. They specialize in neurological illnesses and optimize drug compounds for particular demographic groupings. Their technology offers more effective and individualized healthcare solutions, which increases treatment efficacy and decreases negative effects.",,"Consulting, Information Technology, IT Management","Paris, Ile-de-France, France",Theremia reduces side effects and increases medication efficacy for various patient groups.,"10,504",2023-01-01,year,,"Chloé Geoffroy, Iris Maréchal",Private,"10,784",,2024-11-07,1,Seed,3000000,EUR,3238143,Seed,3000000,EUR,3238143,3000000,EUR,3238143,Seed,3000000,EUR,3238143,"Entrepreneur First, Bpifrance, Eurazeo, Salica, Tiny VC",6,"Information Technology, Professional Services",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://theremia.health,https://www.linkedin.com/company/theremia,contact@theremia.health,1-10
ARTAH,https://www.crunchbase.com/organization/artah,,,,,"Dietary Supplements, Wellness","London, England, United Kingdom","ARTAH manufactures supplements like vitamins, minerals, phytonutrients, and botanicals.","10,592",2020-01-01,year,,Rhian Stephenson,Private,"10,877",,2024-10-28,2,Seed,2900000,GBP,3763292,Seed,2900000,GBP,3763292,2900000,GBP,3763292,Seed,2900000,GBP,3763292,"Active Partners, Five Seasons Ventures, Northview LifeSciences",3,"Food and Beverage, Health Care",,"Europe, Middle East, and Africa (EMEA)",https://artah.co,https://www.linkedin.com/company/a-r-t-a-h,team@artah.co,1-10
Axle Energy,https://www.crunchbase.com/organization/axle-energy,Growing,,Axle's software dynamically gives flexibility to the electricity grid and adjusts energy usage to when it is cheapest and greenest.,,"Electrical Distribution, Energy Management, Smart Home","London, England, United Kingdom",Axle's software dynamically gives flexibility to the electricity grid and adjusts energy usage to when it is cheapest and greenest.,"10,712",2023-01-01,year,,,Private,"11,001",,2024-08-01,2,Seed,7000000,GBP,8998968,Seed,8300000,GBP,10646181,7000000,GBP,8998968,Seed,8300000,GBP,10646181,"Accel, Picus Capital, Eka Ventures, Nico Rosberg, Hanno Renner",7,"Consumer Electronics, Energy, Real Estate",,"Europe, Middle East, and Africa (EMEA)",https://axle.energy/,https://www.linkedin.com/company/axle-energy/,,1-10
Lava Network,https://www.crunchbase.com/organization/lava-network,Growing,101,"Lava is building the Amazon for data across web3, Lava is the modular data access network for scaling access to any blockchain.  Anyone can add in-demand chains and APIs as modules to Lava, with each module being served by a network of node operators competing to offer the best service. RPC is the first service supported by the protocol and already helps developers unlock innovation across 30+ chains.  By leveraging modular architecture and a peer-to-peer network of node operators, Lava powers the universal and performant infrastructure layer for developers to build whatever, wherever.",,"Blockchain, Communications Infrastructure, Cryptocurrency, Information Technology, Web3","Reykjavík, Gullbringusysla, Iceland",Lava is the modular data access network for scaling access to any blockchain.,"10,795",2022-04-01,month,,"Gil Binder, Yair Cleper",Private,"11,084",,2024-02-15,4,Seed,15000000,USD,15000000,Seed,15000000,USD,15000000,15000000,USD,15000000,Seed,15000000,USD,15000000,"Protocol Labs, Alliance DAO, Interop, SMAPE Capital, Tribe Capital",20,"Blockchain and Cryptocurrency, Financial Services, Hardware, Information Technology, Internet Services, Other, Payments, Software",,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",https://www.lavanet.xyz,https://www.linkedin.com/company/lava-network,hello@lavanet.xyz,11-50
Luca,https://www.crunchbase.com/organization/luca-62a4,,28006,"Luca's learning platform provides learning programs for primary and secondary Spanish Speaking Latin American school students. The learning platform offers pre-recorded K12 videos, gamified content and AI powered personalized study paths,  covering the entire official academic curriculum and national exams prep. Luca is a VC backed startup with HQ in Mexico City, Lisbon & Madrid",,"Artificial Intelligence (AI), E-Learning, EdTech, Education, Primary Education, SaaS, Secondary Education","Madrid, Madrid, Spain",Saas K12 Learning Platform,"10,941",2020-12-01,month,,Frederico Bello,Private,"11,235",,2024-11-11,2,Seed,2000000,USD,2000000,Seed,5000000,USD,5000000,2000000,USD,2000000,Seed,5000000,USD,5000000,"Heartcore Capital, Shilling, Diogo Mónica, Brian Requarth, Vasco Pedro",6,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.lucaedu.com/,https://www.linkedin.com/company/lucaedu,,11-50
NayaOne,https://www.crunchbase.com/organization/nayaone,Growing,,"NayaOne is a fintech platform developer focused on delivering financial goods and services through collaborative efforts. The company's software enables financial institutions to quickly design and securely analyze new proposals before scaling them to production, giving businesses the freedom to respond and adapt to changing financial markets.",,"Communities, Financial Services, FinTech, Information Technology","London, England, United Kingdom",NayaOne is a fintech platform developer focused on delivering financial goods and services through partnerships.,"11,037",2019-07-23,day,,Karan Jain,Private,"11,330",,2024-02-28,2,Seed,4700000,USD,4700000,Seed,6228559,USD,6228559,4700000,USD,4700000,Seed,6228559,USD,6228559,"EJF Capital, Carthona Capital, Valley Ventures",3,"Community and Lifestyle, Financial Services, Information Technology",,"Europe, Middle East, and Africa (EMEA)",https://nayaone.com,https://www.linkedin.com/company/nayaone,contact@nayaone.com,11-50
Cardino,https://www.crunchbase.com/organization/cardino-a98d,,12053,Cardino operates and develops a C2B digital platform for buying and selling secondhand electric vehicles,,"Automotive, Electric Vehicle, Sustainability, Transportation","Berlin, Berlin, Germany",Cardino operates and develops a digital platform for buying and selling secondhand electric vehicles.,"11,115",2022-12-01,day,,"Henrik Sachs, Lukasz Pajak",Private,"11,417",,2024-06-11,3,Seed,4000000,EUR,4291233,Seed,5000000,EUR,5360433,4000000,EUR,4291233,Seed,5000000,EUR,5360433,"Sequoia Capital, FJ Labs, Gaingels, Point Nine, Silence VC",10,"Sustainability, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.cardino.de/,,hello@cardino.de,11-50
fynk,https://www.crunchbase.com/organization/fynk,,,"Fynk provides contract management software that streamlines the processes of importing, drafting, reviewing, and analyzing contracts. The platform utilizes AI technology to enhance contract analysis and offers extensive integrations with existing tools. This solution helps sales teams improve efficiency and reduce time spent on contract management tasks.",,"Artificial Intelligence (AI), Legal Tech, Software","Vienna, Wien, Austria",Fynk is a contract management software that simplifies contract workflows for teams.,"11,185",2022-04-22,day,,"Constantin Wintoniak, Dominik Hackl, Markus Presle",Private,"11,486",,2024-10-02,3,Seed,3100000,EUR,3430885,Seed,4350000,EUR,4782622,3100000,EUR,3430885,Seed,4350000,EUR,4782622,"The Austrian Research Promotion Agency (FFG), 10x Founders, 3VC, Johann ""Hansi"" Hansmann, Lisa Pallweber",12,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.fynk.com,https://www.linkedin.com/company/fynkcom,office@fynk.com,11-50
Greenlyte Carbon Technologies,https://www.crunchbase.com/organization/greenlyte-carbon-technologies,Growing,,"GCT operates a low energy DAC approach to capture CO2 while generating hydrogen as a byproduct. The process consists of 3 main process steps. Absorption in a liquid, precipitation and desorption through alkaline electrolysis. The technology is based on 15 years of research with relevant patent applications filed and working prototypes. The company was founded as a university spin-out by 2 serial entrepreneurs and an experienced DAC researcher.",,"Carbon Capture, Chemical, Manufacturing","Essen, Nordrhein-Westfalen, Germany",Greenlyte Carbon Technologies develops and markets an efficient low temperature DAC process that captures CO2 from the air.,"11,239",2022-09-01,month,,"Florian Hildebrand, Niklas Friederichsen, Peter Behr",Private,"11,544",,2024-03-06,3,Seed,10500000,EUR,11444466,Seed,18500000,EUR,20105139,10500000,EUR,11444466,Seed,18500000,EUR,20105139,"Earlybird Venture Capital, Partech, Green Generation Fund, Carbon Removal Partners, Hendrik Brandis",6,"Manufacturing, Science and Engineering, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.greenlyte.tech/,https://www.linkedin.com/company/greenlyte-carbon-technologies/,info@greenlyte.tech,11-50
Crypto Valley Exchange,https://www.crunchbase.com/organization/crypto-valley-exchange,,,"CVEX is a decentralized exchange that provides cryptocurrency holders with futures and options trading, using specific bid-offer dynamics to undercut other trading platforms.",,"Blockchain, Cryptocurrency, Trading Platform","Zug, Zug, Switzerland",CVEX is a decentralized exchange that provides cryptocurrency holders with futures and options trading.,"11,393",,,,Mathias Lundoe Nielsen,Private,"11,697",,2024-04-16,1,Seed,7000000,USD,7000000,Seed,7000000,USD,7000000,7000000,USD,7000000,Seed,7000000,USD,7000000,"SALT Fund, Fabric Ventures, FunFair Ventures, Wave Digital Assets, Seier Capital",8,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",,"Europe, Middle East, and Africa (EMEA)",https://cvex.xyz,https://www.linkedin.com/company/cryptovalleyexchange,,11-50
TORTUS AI,https://www.crunchbase.com/organization/tortus-ai,Growing,,"TORTUS AI creates and operates an online tool using artificial intelligence for the healthcare industry. It aims to eliminate human error in medicine through clinician co-working with AI. It provides an AI agent for healthcare, a digital worker that can take over all digital tasks from a clinician such as documentation, requesting tests, access and summarizing patient information. Tortus AI was founded in 2022 and is based in London, England.",,"Artificial Intelligence (AI), Health Care, Medical, Software","London, England, United Kingdom",TORTUS AI creates and operates an online tool using artificial intelligence for the healthcare industry.,"11,440",2022-11-01,month,,"Christopher Tan, Dominic Pimenta",Private,"11,751",,2024-02-12,2,Seed,3300000,GBP,4166867,Seed,3300000,GBP,4166867,3300000,GBP,4166867,Seed,3300000,GBP,4166867,"Khosla Ventures, Entrepreneur First, Better Angle, David Prior",4,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://tortus.ai,https://www.linkedin.com/company/tortus-ai,dom@tortus.ai,1-10
Ikarovec,https://www.crunchbase.com/organization/ikarovec,Growing,,Ikarovec is developing novel gene therapies to treat major ophthalmic indications.,,"Biotechnology, Health Care, Life Science","Cambridge, Cambridgeshire, United Kingdom",Ikarovek is working on early stage assets intended for the treatment of diabetic macular edama.,"11,590",2018-01-01,year,,Peter Widdowson,Private,"11,903",,2024-10-23,2,Seed,8000000,GBP,10333234,Seed,10500000,GBP,13582519,8000000,GBP,10333234,Seed,10500000,GBP,13582519,"Future Planet Capital, LifeArc, Parkwalk Advisors, UK Innovation & Science Seed Fund, LifeArc Ventures",5,"Biotechnology, Health Care, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://ikarovec.com/,https://www.linkedin.com/company/ikarovec/,,1-10
Versiro,https://www.crunchbase.com/organization/versiro,,7011,"Versiro is a real-time, multi-market decision support platform for electrical power assets.",,"Real Time, Software","Trondheim, Sor-Trondelag, Norway","Versiro is a real-time, multi-market decision support platform for electrical power assets.","11,612",2022-01-01,year,,Simon Risanger,Private,"11,922",,2024-07-03,1,Seed,2300000,EUR,2471131,Seed,2300000,EUR,2471131,2300000,EUR,2471131,Seed,2300000,EUR,2471131,"Alliance VC, Sondo Capital, Henrik Langeland, Fredrik Thomassen, Nikolai Heum",7,"Other, Software",,"Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",https://www.versiro.com,https://www.linkedin.com/company/versiro,contact@versiro.com,1-10
GAM3S.GG,https://www.crunchbase.com/organization/gam3s-gg,Growing,1700 004,"GAM3S.GG's objective is to bring the next 100 million gamers into web3 through game discovery, content, live streaming, community events, and much more!",,"Gaming, Online Games, Web Apps","Lisbon, Lisboa, Portugal",GAM3S.GG is a Web3 gaming platform that aims to attract 100 million players to its ecosystem.,"11,699",2021-01-01,year,1,"Daniel Stockhaus, Omar Ghanem",Private,"12,009",,2024-03-23,2,Seed,2000000,USD,2000000,Seed,4000000,USD,4000000,2000000,USD,2000000,Seed,4000000,USD,4000000,"Polygon, Sky Mavis, Hyperithm, Snackclub, BreederDAO",48,"Apps, Gaming, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://gam3s.gg,https://www.linkedin.com/company/gam3sgg,,11-50
Fluent,https://www.crunchbase.com/organization/fluent-6f0c,,WC2B 6NH,"Fluent provides non-technical team members with a user-friendly interface, simplifying the process of querying data and integrating data-driven insights.",,"Analytics, Artificial Intelligence (AI), Information Technology","London, England, United Kingdom","Fluent provides non-technical team members with a user-friendly interface, simplifying the process of querying data.","11,716",2022-01-01,year,,Robert Van Den Bergh,Private,"12,027",,2024-03-06,1,Seed,6900000,EUR,7520649,Seed,6900000,EUR,7520649,6900000,EUR,7520649,Seed,6900000,EUR,7520649,"Tiferes Ventures, Hoxton Ventures",2,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,"Europe, Middle East, and Africa (EMEA)",https://www.fluenthq.com,https://www.linkedin.com/company/fluentdatahq,,11-50
